FIPS,Week,Confirmed,Deaths,Incident_Rate,New_Cases,New_Deaths,Susceptible
1,1,2692473,35201,7844.676470498258,90859,4045,11582.249483671701
1,2,2877535,40108,8383.865356323056,185062,4907,22073.589225813063
1,3,3010889,44172,8772.399980828788,133354,4064,15201.541230613284
1,4,3143072,49862,9157.52282882016,132183,5690,14434.362050837524
1,5,3256946,56800,9489.301341882878,113874,6938,12000.251219485985
1,6,3332597,61948,9709.714924366215,75651,5148,7791.268908436876
1,7,3383754,65676,9858.76381518194,51157,3728,5188.987276601668
1,8,3429198,68218,9991.167548673537,45444,2542,4548.41736750109
1,9,3474970,70245,10124.526929216125,45772,2027,4520.902588338893
1,10,3510204,71604,10227.18323468754,35234,1359,3445.132368460637
1,11,3561809,72608,10377.537399524128,51605,1004,4972.759722587595
1,12,3588529,73362,10455.387671482924,26720,754,2555.6202064968684
1,13,3608125,73930,10512.481755663484,19596,568,1864.0698224701193
1,14,3623031,74652,10555.911252438102,14906,722,1412.0997840482182
1,15,3644208,75139,10617.611671946765,21177,487,1994.5163426868055
1,16,3669659,75700,10691.764638699133,25451,561,2380.4302526338274
1,17,3690013,76132,10751.067199906069,20354,432,1893.2074017896412
1,18,3706691,76559,10799.659521602503,16678,427,1544.3079447679886
1,19,3735774,77001,10884.39453130975,29083,442,2671.9906115439535
1,20,3786675,77433,11032.697551256408,50901,432,4613.649541603121
1,21,3799760,77918,11070.821458763176,13085,485,1181.9357803519167
1,22,3811651,78199,11105.46657791969,11891,281,1070.7339413944244
1,23,3827075,78668,11150.405297780932,15424,469,1383.2681044400751
1,24,3837319,79009,11180.251786775914,10244,341,916.258434547662
1,25,3845339,79256,11203.618522595882,8020,247,715.8401532348643
1,26,3855398,79432,11232.926003345638,10059,176,895.4924119507248
1,27,3868392,79648,11270.784777066918,12994,216,1152.8922126558011
1,28,3897281,79958,11354.954556506202,28889,310,2544.1757477969895
1,29,3949260,80231,11506.398392065568,51979,273,4517.399643996596
1,30,4035470,80524,11757.57623433981,86210,293,7332.293517112008
1,31,4174908,80973,12163.836946218193,139438,449,11463.32367134797
1,32,4334677,81840,12629.333207467624,159769,867,12650.628293307667
1,33,4522528,83157,13176.64800678393,187851,1317,14256.357148137058
1,34,4706665,84475,13713.141851382608,184137,1318,13427.776216099934
1,35,4933995,86156,14375.481010229649,227330,1681,15813.731717097402
1,36,5129969,87569,14946.462641848397,195974,1413,13111.731163151278
1,37,5305044,89969,15456.553823105362,175075,2400,11326.91038401378
1,38,5450602,95286,15880.645510447366,145558,5317,9165.748325799608
1,39,5561702,99563,16204.34181338981,111100,4277,6856.187142892589
1,40,5628896,102383,16400.11543517122,67194,2820,4097.166283104182
1,41,5674443,104988,16532.819265145296,45547,2605,2754.9445300005655
1,42,5715004,107036,16650.99609452107,40561,2048,2435.9503641554757
1,43,5783833,108259,16851.533383767026,68829,1223,4084.435429852487
1,44,5836292,109805,17004.375727205887,52459,1546,3085.0294560398966
1,45,5863351,111313,17083.213695354578,27059,1508,1583.9525561492055
1,46,5887209,112165,17152.72536408186,23858,852,1390.91599110886
1,47,5908184,112679,17213.837244857896,20975,514,1218.4964747628037
1,48,5925310,113007,17263.7348405752,17126,328,992.0217240448178
1,49,5950614,113483,17337.459514289472,25304,476,1459.4987217789626
1,50,5983543,114135,17433.40006838121,32929,652,1888.8455419389481
1,51,6033891,114692,17580.091890708358,50348,557,2863.92132151542
2,1,342898,1541,6696.160669737141,8499,66,1269.2347778348083
2,2,356383,1585,6959.497658087629,13485,44,1937.639850245382
2,3,367456,1708,7175.73276910023,11073,123,1543.1176656524865
2,4,376116,1825,7344.846474633431,8660,117,1179.0580007231813
2,5,383746,1919,7493.846194404601,7630,94,1018.168748338745
2,6,392087,1962,7656.730422794028,8341,43,1089.3683778090067
2,7,398711,2005,7786.084832199563,6624,43,850.7485010446162
2,8,405726,2029,7923.074744938062,7015,24,885.3885929173875
2,9,412703,2108,8059.322588298933,6977,79,865.7055135290997
2,10,419388,2137,8189.868214336975,6685,29,816.2524505946761
2,11,426032,2155,8319.61318657284,6644,18,798.5948205768581
2,12,432871,2183,8453.16614640443,6839,28,809.0459694689641
2,13,440631,2191,8604.704524572748,7760,8,901.8322451212013
2,14,449981,2191,8787.29264775236,9350,0,1064.0364870961218
2,15,458406,2257,8951.817240029175,8425,66,941.1496877222374
2,16,466477,2338,9109.428870209138,8071,81,886.0050520175698
2,17,474347,2416,9263.115343944277,7870,78,849.6061754369689
2,18,480280,2438,9378.975807561885,5933,22,632.5850627758806
2,19,484721,2461,9465.70028403682,4441,23,469.167612193406
2,20,488116,2561,9531.998324485456,3395,100,356.1687575289481
2,21,490650,2583,9581.48263508836,2534,22,264.4684644858861
2,22,492436,2583,9616.359895836891,1786,0,185.72516205151535
2,23,493989,2591,9646.687099612072,1553,8,160.9879105607615
2,24,495376,2611,9673.772631895508,1387,20,143.3773619432512
2,25,496941,2615,9704.334173368889,1565,4,161.26814802964535
2,26,498721,2630,9739.09426526832,1780,15,182.76853591487026
2,27,500810,2643,9779.888552896364,2089,13,213.60161608194727
2,28,504727,2665,9856.380283216637,3917,22,397.40755606496185
2,29,512557,2675,10009.285631291114,7830,10,782.2736095692771
2,30,523378,2702,10220.599650641549,10821,27,1058.7441412325318
2,31,537554,2756,10497.43058477996,14176,54,1350.4256956510417
2,32,552560,2806,10790.4698763771,15006,50,1390.6715992833358
2,33,573046,2866,11190.523383484857,20486,60,1830.6561094571812
2,34,597510,3007,11668.25983754539,24464,141,2096.6279754313737
2,35,623897,3112,12183.548907742224,26387,105,2165.789311456859
2,36,652530,3174,12742.698183785198,28633,62,2247.0123349884298
2,37,687747,3257,13430.420743573046,35217,83,2622.1814396136947
2,38,731983,3456,14294.267611698528,44236,199,3094.667121230958
2,39,791225,3948,15451.15377142115,59242,492,3834.1473314164746
2,40,835306,4098,16311.973777611574,44081,150,2702.370700258348
2,41,878170,4260,17149.028035576368,42864,162,2499.500258036599
2,42,916495,4696,17897.44405919761,38325,436,2141.36721831543
2,43,953050,5002,18611.295272334577,36555,306,1964.129818215204
2,44,983330,5146,19202.60739745529,30280,144,1576.8691914209878
2,45,1008373,5681,19691.650645453898,25043,535,1271.7572767715915
2,46,1028778,5912,20090.12237309881,20405,231,1015.6732557947392
2,47,1044978,6082,20406.478265666698,16200,170,793.8655454947376
2,48,1058850,6165,20677.37264478408,13872,83,670.878270576569
2,49,1069862,6193,20892.416539164176,11012,28,527.0812009399343
2,50,1078837,6330,21067.681609275085,8975,137,426.0079569480839
2,51,1085939,6742,21206.370470325528,7102,412,334.8993647893666
4,1,4048269,66601,7945.413221274338,195159,5368,24562.473286782573
4,2,4498043,74586,8828.170835994468,449774,7985,50947.586805430714
4,3,4852747,81268,9524.337481847027,354704,6682,37241.85547562236
4,4,5166544,88507,10140.21721528278,313797,7239,30945.78679508584
4,5,5379522,94893,10558.222594134966,212978,6386,20171.76642196463
4,6,5519998,101295,10833.930524529844,140476,6402,12966.300612869787
4,7,5609150,106177,11008.906416572356,89152,4882,8098.170392818876
4,8,5683209,110028,11154.259741105472,74059,3851,6639.52621858707
4,9,5742838,112885,11271.291747864749,59629,2857,5290.343053296993
4,10,5804702,114912,11392.71032047465,61864,2027,5430.138944972541
4,11,5839727,116335,11461.452812160636,35025,1423,3055.8953192075587
4,12,5863962,117814,11509.018102267984,24235,1479,2105.740019231025
4,13,5892431,118701,11564.893334125463,28469,887,2461.674239224864
4,14,5925045,119208,11628.903830166772,32614,507,2804.563566464052
