FIPS,Poblacion,Lat,Long
1,5049196,32.3182,-86.9023
2,734420,61.3707,-152.4044
4,727407,33.7298,-111.4312
5,3026870,34.9697,-92.3731
6,39142565,36.1162,-119.6816
8,5814036,39.0598,-105.3111
9,3606607,41.5978,-72.7554
10,1005062,39.3185,-75.5071
11,669256,38.8974,-77.0268
12,21831949,27.7663,-81.6868
13,10792060,33.0406,-83.6431
15,1447029,21.0943,-157.4983
16,1904848,44.2405,-114.4788
17,12700641,40.3495,-88.9861
18,6815907,39.8494,-86.2583
19,3198613,42.0115,-93.2105
20,2938338,38.5266,-96.7265
21,4507583,37.6681,-84.6701
22,4627971,31.1695,-91.8678
23,1378931,44.6939,-69.3819
24,6179403,39.0639,-76.8021
25,7000474,42.2302,-71.5301
26,10041351,43.3266,-84.5361
27,5718660,45.6945,-93.9002
28,2947209,32.7416,-89.6787
29,6171374,38.4561,-92.2884
30,1106522,46.9219,-110.4544
31,1964537,41.1254,-98.2681
32,3148141,38.3135,-117.0554
33,1387677,43.4525,-71.5639
34,9270541,40.2989,-74.521
35,2117333,34.8405,-106.2485
36,19848276,42.1657,-74.9481
37,10564320,35.6301,-79.8064
38,777966,47.5289,-99.784
39,11767344,40.3888,-82.7649
40,3992238,35.5653,-96.9289
41,4254280,44.572,-122.0709
42,13015571,40.5908,-77.2098
44,1097246,41.6809,-71.5118
45,5194274,33.8569,-80.945
46,896492,44.2998,-99.4388
47,6965740,35.7478,-86.6923
48,29570351,31.0545,-97.5635
49,3339738,40.15,-111.8624
50,647210,44.0459,-72.7107
51,8658910,37.7693,-78.17
53,7743760,47.4009,-121.4905
54,1785618,38.4912,-80.9545
55,5881608,44.2685,-89.6165
56,579636,42.756,-107.3025
