FIPS_O,FIPS_D,Week,Pop_flows
2,1,1,3226.0
4,1,1,11043.0
5,1,1,25793.0
6,1,1,57154.0
8,1,1,23606.0
9,1,1,7899.0
10,1,1,2042.0
11,1,1,3944.0
12,1,1,559576.0
13,1,1,655569.0
15,1,1,2701.0
16,1,1,3666.0
17,1,1,63278.0
18,1,1,30540.0
19,1,1,8198.0
20,1,1,9002.0
21,1,1,55556.0
22,1,1,90724.0
23,1,1,1474.0
24,1,1,16502.0
25,1,1,9633.0
26,1,1,35225.0
27,1,1,11018.0
28,1,1,402996.0
29,1,1,28735.0
30,1,1,2684.0
31,1,1,2420.0
32,1,1,5166.0
33,1,1,771.0
34,1,1,19074.0
35,1,1,5767.0
36,1,1,32465.0
37,1,1,67882.0
38,1,1,1899.0
39,1,1,30774.0
40,1,1,14887.0
41,1,1,2012.0
42,1,1,28518.0
44,1,1,2112.0
45,1,1,56280.0
46,1,1,1229.0
47,1,1,502442.0
48,1,1,148999.0
49,1,1,2888.0
50,1,1,1465.0
51,1,1,42000.0
53,1,1,11082.0
54,1,1,6560.0
55,1,1,16498.0
56,1,1,760.0
2,1,2,4056.0
4,1,2,16962.0
5,1,2,30684.0
6,1,2,61398.0
8,1,2,28880.0
9,1,2,7596.0
10,1,2,2611.0
11,1,2,1595.0
12,1,2,615951.0
13,1,2,777401.0
15,1,2,2925.0
16,1,2,2897.0
17,1,2,77679.0
18,1,2,32045.0
19,1,2,8003.0
20,1,2,10454.0
21,1,2,57447.0
22,1,2,117718.0
23,1,2,4357.0
24,1,2,24917.0
25,1,2,12370.0
26,1,2,39579.0
27,1,2,12474.0
28,1,2,414275.0
29,1,2,41207.0
30,1,2,1493.0
31,1,2,3808.0
32,1,2,7100.0
33,1,2,1499.0
34,1,2,29478.0
35,1,2,8820.0
36,1,2,46425.0
37,1,2,80510.0
38,1,2,1892.0
39,1,2,38097.0
40,1,2,12911.0
41,1,2,2714.0
42,1,2,38808.0
44,1,2,3059.0
45,1,2,49261.0
46,1,2,2105.0
47,1,2,484169.0
48,1,2,164604.0
49,1,2,3649.0
50,1,2,1705.0
51,1,2,48998.0
53,1,2,10471.0
54,1,2,8239.0
55,1,2,18449.0
56,1,2,2353.0
2,1,3,2846.0
4,1,3,17476.0
5,1,3,25064.0
6,1,3,74303.0
8,1,3,30597.0
9,1,3,9249.0
10,1,3,1312.0
11,1,3,2031.0
12,1,3,645957.0
13,1,3,803578.0
15,1,3,2307.0
16,1,3,3326.0
17,1,3,71305.0
18,1,3,36732.0
19,1,3,8564.0
20,1,3,10017.0
21,1,3,46123.0
22,1,3,134161.0
23,1,3,2675.0
24,1,3,21563.0
25,1,3,8758.0
26,1,3,36556.0
27,1,3,12188.0
28,1,3,435278.0
29,1,3,39195.0
30,1,3,2037.0
31,1,3,1909.0
32,1,3,7372.0
33,1,3,2361.0
34,1,3,24729.0
35,1,3,6322.0
36,1,3,41201.0
37,1,3,76504.0
38,1,3,2832.0
39,1,3,35375.0
40,1,3,16475.0
41,1,3,4760.0
42,1,3,34327.0
44,1,3,1732.0
45,1,3,52433.0
46,1,3,1316.0
47,1,3,497014.0
48,1,3,168640.0
49,1,3,3263.0
50,1,3,2426.0
51,1,3,48053.0
53,1,3,9751.0
54,1,3,5481.0
55,1,3,19825.0
56,1,3,2240.0
2,1,4,1623.0
4,1,4,14142.0
5,1,4,23342.0
6,1,4,64462.0
8,1,4,24857.0
9,1,4,10117.0
10,1,4,1605.0
11,1,4,1470.0
12,1,4,622421.0
13,1,4,731632.0
15,1,4,3400.0
16,1,4,3526.0
17,1,4,71665.0
18,1,4,37531.0
19,1,4,10617.0
20,1,4,9597.0
21,1,4,52215.0
22,1,4,113951.0
23,1,4,3395.0
24,1,4,22290.0
25,1,4,9697.0
26,1,4,36609.0
27,1,4,10288.0
28,1,4,430398.0
29,1,4,38276.0
30,1,4,2098.0
31,1,4,3481.0
32,1,4,3990.0
33,1,4,2105.0
34,1,4,23085.0
35,1,4,4810.0
36,1,4,31453.0
37,1,4,77921.0
38,1,4,2246.0
39,1,4,34333.0
40,1,4,15811.0
41,1,4,2398.0
42,1,4,30386.0
44,1,4,1269.0
45,1,4,45233.0
46,1,4,2317.0
47,1,4,499782.0
48,1,4,157658.0
49,1,4,4201.0
50,1,4,1597.0
51,1,4,42514.0
53,1,4,12874.0
54,1,4,6351.0
55,1,4,22821.0
56,1,4,1421.0
2,1,5,2755.0
4,1,5,10442.0
5,1,5,24861.0
6,1,5,41213.0
8,1,5,14107.0
9,1,5,2635.0
10,1,5,1246.0
11,1,5,2911.0
12,1,5,565169.0
13,1,5,670726.0
15,1,5,1876.0
16,1,5,1502.0
17,1,5,47544.0
18,1,5,30274.0
19,1,5,8562.0
20,1,5,8309.0
21,1,5,46595.0
22,1,5,99174.0
23,1,5,1245.0
24,1,5,12324.0
25,1,5,2853.0
26,1,5,28681.0
27,1,5,10581.0
28,1,5,419272.0
29,1,5,26852.0
30,1,5,1216.0
31,1,5,1660.0
32,1,5,5317.0
33,1,5,422.0
34,1,5,13060.0
35,1,5,4610.0
36,1,5,20254.0
37,1,5,56746.0
38,1,5,1669.0
39,1,5,27980.0
40,1,5,13145.0
41,1,5,4879.0
42,1,5,19628.0
44,1,5,542.0
45,1,5,37139.0
46,1,5,1032.0
47,1,5,434277.0
48,1,5,113893.0
49,1,5,3209.0
50,1,5,451.0
51,1,5,32124.0
53,1,5,6521.0
54,1,5,6362.0
55,1,5,14292.0
56,1,5,418.0
2,1,6,5183.0
4,1,6,11350.0
5,1,6,33268.0
6,1,6,50399.0
8,1,6,17453.0
9,1,6,6915.0
10,1,6,2040.0
11,1,6,4164.0
12,1,6,622948.0
13,1,6,824943.0
15,1,6,2062.0
16,1,6,2568.0
17,1,6,64254.0
18,1,6,40463.0
19,1,6,12505.0
20,1,6,12579.0
21,1,6,53835.0
22,1,6,161262.0
23,1,6,1235.0
24,1,6,15161.0
25,1,6,6732.0
26,1,6,42890.0
27,1,6,13586.0
28,1,6,486620.0
29,1,6,39080.0
30,1,6,1976.0
31,1,6,5478.0
32,1,6,8085.0
33,1,6,522.0
34,1,6,15564.0
35,1,6,7949.0
36,1,6,24684.0
37,1,6,71250.0
38,1,6,1872.0
39,1,6,30406.0
40,1,6,13450.0
41,1,6,1508.0
42,1,6,21964.0
44,1,6,915.0
45,1,6,49494.0
46,1,6,2427.0
47,1,6,494755.0
48,1,6,129528.0
49,1,6,3752.0
50,1,6,593.0
51,1,6,31371.0
53,1,6,5366.0
54,1,6,6660.0
55,1,6,21924.0
56,1,6,1941.0
2,1,7,4636.0
4,1,7,11344.0
5,1,7,33046.0
6,1,7,52480.0
8,1,7,19441.0
9,1,7,7652.0
10,1,7,2193.0
11,1,7,4199.0
12,1,7,613519.0
13,1,7,866770.0
15,1,7,1656.0
16,1,7,2745.0
17,1,7,61624.0
18,1,7,42128.0
19,1,7,13730.0
20,1,7,8587.0
21,1,7,45470.0
22,1,7,223526.0
23,1,7,1967.0
24,1,7,17165.0
25,1,7,10253.0
26,1,7,48267.0
27,1,7,21664.0
28,1,7,454681.0
29,1,7,35223.0
30,1,7,3252.0
31,1,7,4415.0
32,1,7,5094.0
33,1,7,3107.0
34,1,7,17221.0
35,1,7,7091.0
36,1,7,26149.0
37,1,7,68652.0
38,1,7,1514.0
39,1,7,41529.0
40,1,7,11943.0
41,1,7,5446.0
42,1,7,27169.0
44,1,7,1137.0
45,1,7,49016.0
46,1,7,1122.0
47,1,7,416256.0
48,1,7,113938.0
49,1,7,4664.0
50,1,7,1936.0
51,1,7,38676.0
53,1,7,6877.0
54,1,7,5862.0
55,1,7,19919.0
56,1,7,1727.0
2,1,8,5513.0
4,1,8,18145.0
5,1,8,43181.0
6,1,8,61111.0
8,1,8,17850.0
9,1,8,6821.0
10,1,8,2729.0
